Nº,Desc. nacionalidade,A/S curricular aluno,Sexo (M/F),Desc. tipos aluno,Cód. curso,Nome curso,Área Científica,Empregabilidade,Ano lectivo ingresso,Candidatos - Formade Ingresso 1.º ano 1.ª vez,Nota de Ingresso,Ano Nascimento,Idade neste ano letivo,Ano conclusão habilitação anterior,Classificação habilitação anterior,Desc. habilitação anterior,Desc. regime frequência,Bolsa DGES,Concelho,Km Distância ISEC Lisboa - Concelho Morada Indicada pelo estudante,Desc. habilitação literária mãe,Desc. habilitação literária pai,Desc. profissão mãe,Desc. profissão pai,Desc. situação profissional mãe,Desc. situação profissional pai,Desc. situação profissional (aluno),Desc. grupo profissional (aluno),ECTS (aprovados),ECTS (inscrito),% de ECTS feitos face inscritos,Média UC Realizadas,Diplomou-se até 2022 (Curso),Diplomou-se até 2022 (Data),Abandono?
20210209,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],13.72,2002,19,2020,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Seixal,27.80,9º ano de esco(antigo 5º ano liceal/ensino técni.),12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,15.75,Não,Não,renovou no ano seguinte
20210166,Portuguesa,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.90,1999,22,2021,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Sesimbra,42.20,12.º ano de escolaridade,9º ano de esco(antigo 5º ano liceal/ensino técni.),Outra situação,"Trabalhadores qualificados da floresta, pesca e caça, orientados para o mercado",Trabalha por conta própria - (como empregador),Trabalha por conta de outrém,"Aluno, estudante",Outra situação,37,37,100%,12.11,Não,Não,renovou no ano seguinte
20210216,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],14.08,2002,19,2021,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Azambuja,49.80,Licenciatura,12.º ano de escolaridade,Não Responde,Não Responde,Desempregado/a,Desempregado/a,Trabalha por conta de outrém,"Directores de hotelaria, restauração, comércio e de outros serviços",60,60,100%,14.53,Não,Não,renovou no ano seguinte
20210223,Portuguesa,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],13.08,2001,20,2020,12,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Vila Franca de Xira,34.40,12.º ano de escolaridade,Pós-Bacharelato,Não Responde,Não Responde,Trabalha por conta de outrém,Reformado/a,Trabalha por conta de outrém,Assistentes na preparação de refeições,60,60,100%,12.37,Não,Não,renovou no ano seguinte
20210230,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],13.43,2001,20,2021,15,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Lisboa,0.00,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Assistentes na preparação de refeições,Não disponível,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Outra situação,50,55,91%,12.98,Não,Não,renovou no ano seguinte
20210308,Portuguesa,1,M,Trabalhador Estudante,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,K - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP de outro estabelecimento,15.40,1994,27,2020,14,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Vila Franca de Xira,34.40,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Técnicos das tecnologias de informação e comunicação,60,60,100%,14.42,Não,Não,renovou no ano seguinte
20210302,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),14.30,2002,19,2020,15,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Oeiras,21.30,11.º ano de escolaridade,9º ano de esco(antigo 5º ano liceal/ensino técni.),Profissionais de saúde,Outra situação,Domestica/o,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,60,60,100%,15.42,Não,Não,renovou no ano seguinte
20210272,Portuguesa,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),12.40,2000,21,2021,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Amadora,8.00,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Desempregado/a,Reformado/a,"Aluno, estudante",Desconhecido/não sabe,55,60,92%,15.04,Não,Não,renovou no ano seguinte
20210338,Portuguesa,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),16.80,2001,20,2021,16,12.º ano de escolaridade,Diurno (horário não vinculativo),sim,Loures,10.10,12.º ano de escolaridade,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),Não Responde,Não Responde,Desempregado/a,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,14.48,Não,Não,renovou no ano seguinte
20210320,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),13.87,1999,22,2020,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Almada,16.50,Ensino médio,Ensino médio,Não Responde,Não Responde,Reformado/a,Reformado/a,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,15.02,Não,Não,renovou no ano seguinte
20210349,Espanhola,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,H - Licenciatura - Acesso para maiores de 23,17.00,1992,29,2021,NA,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Espanha,NA,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Desconhecida /Não Tem,Não Responde,60,60,100%,15.75,Não,Não,Não renovou
20210396,Angolana,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),14.70,2003,18,2021,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Loures,10.10,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Domestica/o,Trabalha por conta de outrém,Trabalha por conta de outrém,Outro pessoal de apoio de tipo administrativo,60,60,100%,13.83,Não,Não,renovou no ano seguinte
20210406,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.99,2001,20,2020,12,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Vila Franca de Xira,34.40,11.º ano de escolaridade,Licenciatura,Não disponível,"Operadores de dados, de contabilidade, estatística, de serviços financeiros e relacionados com o registo",Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Outra situação,60,60,100%,15.55,Não,Não,renovou no ano seguinte
20210439,Portuguesa,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,H - Licenciatura - Acesso para maiores de 23,17.40,1997,24,2020,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Alcochete,34.50,Licenciatura,Licenciatura,Outra situação,Outra situação,Trabalha por conta de outrém,Desconhecida /Não Tem,Desempregado/a,Técnicos das tecnologias de informação e comunicação,35,60,58%,15.17,Não,Não,renovou no ano seguinte
20210454,Portuguesa,1,F,Trabalhador Estudante,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],13.89,1999,22,2020,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Oeiras,21.30,Outro grau,12.º ano de escolaridade,Não disponível,Pessoal dos serviços de proteção e segurança,Domestica/o,Trabalha por conta de outrém,Trabalha por conta de outrém,Técnicos e Profissionais de Nível Intermédio,29,60,48%,11.52,Não,Não,renovou no ano seguinte
20210458,Portuguesa,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],13.36,2003,18,2021,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Lisboa,0.00,Mestrado,Licenciatura,"Técnicos e profissões das ciências e engenharia, de nível intermédio","Operadores de dados, de contabilidade, estatística, de serviços financeiros e relacionados com o registo",Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,60,60,100%,13.52,Não,Não,renovou no ano seguinte
20210325,Portuguesa,1,F,Trabalhador Estudante,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,H - Licenciatura - Acesso para maiores de 23,16.25,1996,25,2015,14,12.º ano de escolaridade,Diurno (horário não vinculativo),sim,Lisboa,0.00,12.º ano de escolaridade,4.º ano de escolaridade (antiga 4.ª classe),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta própria - (como empregador),Trabalha por conta de outrém,Vendedores,60,60,100%,13.63,Não,Não,renovou no ano seguinte
20210482,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],14.38,2002,19,2020,16,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Odivelas,7.40,Licenciatura,12.º ano de escolaridade,Outra situação,Outra situação,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,60,60,100%,14.57,Não,Não,renovou no ano seguinte
20210478,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],13.70,2003,18,2021,14,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Odivelas,7.40,Mestrado,9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Trabalha por conta própria - (como empregador),Trabalha por conta de outrém,Trabalha por conta de outrém,Outro pessoal de apoio de tipo administrativo,60,60,100%,13.85,Não,Não,renovou no ano seguinte
20210552,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],13.56,2002,19,2021,12,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Odivelas,7.40,Licenciatura,Licenciatura,Não Responde,Não Responde,Domestica/o,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,15.08,Não,Não,renovou no ano seguinte
20210550,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],12.71,2002,19,2021,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Oeiras,21.30,Licenciatura,12.º ano de escolaridade,"Técnicos de nível intermédio, das áreas financeira, administrativa e dos negócios",Outro pessoal de apoio de tipo administrativo,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,60,60,100%,15.55,Não,Não,renovou no ano seguinte
20210433,Portuguesa,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),12.20,2001,20,2021,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Sintra,32.10,Licenciatura,12.º ano de escolaridade,Outra situação,Outra situação,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,0,30,0%,0.00,Não,Não,Não renovou
20210405,Brasileira,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,O - Licenciaturas - Concurso Especial de Acesso e Ingresso para Estudante Internacional,14.77,2000,21,2017,NA,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Sintra,32.10,12.º ano de escolaridade,Curso de Especialização Tecnológica,Não disponível,Sargentos das Forças Armadas,Outra Situação,Serviço Militar,"Aluno, estudante",Outra situação,60,60,100%,16.00,Não,Não,renovou no ano seguinte
20210700,Espanhola,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,H - Licenciatura - Acesso para maiores de 23,17.15,1977,44,2000,NA,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Espanha,NA,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Desconhecida /Não Tem,Não Responde,62,62,100%,17.66,Não,Não,Não renovou
20210701,Espanhola,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,H - Licenciatura - Acesso para maiores de 23,18.65,1973,48,1997,NA,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Espanha,NA,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,Desconhecida /Não Tem,Não Responde,77,77,100%,17.91,Não,Não,Não renovou
20190121,Portuguesa,2,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.70,1999,22,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Odivelas,7.40,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Vendedores,56,56,100%,14.96,Não,Não,renovou no ano seguinte
20190298,Portuguesa,2,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,17.00,1999,22,2021,17,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Lisboa,0.00,12.º ano de escolaridade,4.º ano de escolaridade (antiga 4.ª classe),Não disponível,Não disponível,Domestica/o,Desconhecida /Não Tem,"Aluno, estudante",Outra situação,56,56,100%,15.95,Não,Não,renovou no ano seguinte
20190122,Portuguesa,2,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.65,2001,20,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Mafra,35.00,Bacharelato,Ensino médio,Não Responde,Não Responde,Trabalha por conta de outrém,Reformado/a,"Aluno, estudante",Desconhecido/não sabe,48,48,100%,15.42,Não,Não,renovou no ano seguinte
20190026,Portuguesa,2,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.65,2000,21,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Loures,10.10,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,56,56,100%,14.29,Não,Não,renovou no ano seguinte
20190471,Portuguesa,2,M,"Aluno NEE, Atleta de Alta competição",9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,12.20,1999,22,2021,15,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Odivelas,7.40,Mestrado,Mestrado,"Especialistas em assuntos jurídicos, sociais, artísticos e culturais","Especialistas em assuntos jurídicos, sociais, artísticos e culturais",Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,48,48,100%,13.54,Não,Não,renovou no ano seguinte
20190052,Portuguesa,2,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.70,1998,23,2021,15,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Alenquer,45.10,4.º ano de escolaridade (antiga 4.ª classe),9º ano de esco(antigo 5º ano liceal/ensino técni.),Operadores de instalações fixas e máquinas,Trabalhadores da montagem,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Outra situação,54,54,100%,13.17,Não,Não,renovou no ano seguinte
20180045,Portuguesa,2,F,Trabalhador Estudante,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.05,1999,22,2021,14,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Loures,10.10,9º ano de esco(antigo 5º ano liceal/ensino técni.),6º ano de escol.(antigo 2ºano lic./ciclo prepara.),Não Responde,Não Responde,Desempregado/a,Trabalha por conta própria - (como empregador),Trabalha no negócio de familia,Vendedores,54,54,100%,14.94,Não,Não,renovou no ano seguinte
20180626,Portuguesa,2,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,17.35,2000,21,2021,17,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Loures,10.10,12.º ano de escolaridade,12.º ano de escolaridade,"Empregados de escritório, secretários em geral e operadores de processamento de dados","Operadores de dados, de contabilidade, estatística, de serviços financeiros e relacionados com o registo",Trabalha por conta própria - (como empregador),Trabalha por conta de outrém,Trabalha por conta de outrém,Pessoal Administrativo e Similares,54,54,100%,15.54,Não,Não,renovou no ano seguinte
20190232,Portuguesa,2,F,Trabalhador Estudante,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.70,1999,22,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Loures,10.10,Outra,Outra,Não Responde,Não Responde,Domestica/o,Trabalha por conta de outrém,Trabalha por conta de outrém,Técnicos das tecnologias de informação e comunicação,66,66,100%,15.98,Não,Não,renovou no ano seguinte
20190219,Portuguesa,2,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.00,2000,21,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),sim,Benavente,55.88,6º ano de escol.(antigo 2ºano lic./ciclo prepara.),9º ano de esco(antigo 5º ano liceal/ensino técni.),Não disponível,Não disponível,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Outra situação,54,54,100%,16.22,Não,Não,renovou no ano seguinte
20190221,Portuguesa,2,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.70,2000,21,2021,16,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Almada,16.50,12.º ano de escolaridade,9º ano de esco(antigo 5º ano liceal/ensino técni.),"Empregados de escritório, secretários em geral e operadores de processamento de dados",Operadores de instalações fixas e máquinas,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,54,54,100%,14.67,Não,Não,renovou no ano seguinte
20190271,Portuguesa,2,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.30,2001,20,2021,17,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Sesimbra,42.20,12.º ano de escolaridade,9º ano de esco(antigo 5º ano liceal/ensino técni.),"Empregados de escritório, secretários em geral e operadores de processamento de dados",Outra situação,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,48,48,100%,17.71,Não,Não,renovou no ano seguinte
20190638,Portuguesa,2,M,Trabalhador Estudante,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,17.00,1998,23,2021,17,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Arruda Vinhos,34.10,9º ano de esco(antigo 5º ano liceal/ensino técni.),4.º ano de escolaridade (antiga 4.ª classe),Outra situação,Outra situação,Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Vendedores,54,54,100%,17.04,Não,Não,renovou no ano seguinte
20190597,Portuguesa,2,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,15.35,1999,22,2021,15,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Lisboa,0.00,4.º ano de escolaridade (antiga 4.ª classe),9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Domestica/o,Trabalha por conta própria - independente (sem empregados),"Aluno, estudante",Desconhecido/não sabe,48,48,100%,15.73,Não,Não,renovou no ano seguinte
20190323,Portuguesa,2,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,J - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP do ISEC Lisboa,16.35,1999,22,2021,17,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Lisboa,0.00,Ensino médio,Ensino médio,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,48,48,100%,16.21,Não,Não,renovou no ano seguinte
